customer_id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,Repaid
1,22,59000,RENT,123.0,PERSONAL,D,35000,16.02,0.59,3,Yes
2,21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0.1,2,No
3,25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,0.57,3,Yes
4,23,65500,RENT,4.0,MEDICAL,C,35000,15.23,0.53,2,Yes
5,24,54400,RENT,8.0,MEDICAL,C,35000,14.27,0.55,4,Yes
6,21,9900,OWN,2.0,VENTURE,A,2500,7.14,0.25,2,Yes
7,26,77100,RENT,8.0,EDUCATION,B,35000,12.42,0.45,3,Yes
8,24,78956,RENT,5.0,MEDICAL,B,35000,11.11,0.44,4,Yes
9,24,83000,RENT,8.0,PERSONAL,A,35000,8.9,0.42,2,Yes
10,21,10000,OWN,6.0,VENTURE,D,1600,14.74,0.16,3,Yes
11,22,85000,RENT,6.0,VENTURE,B,35000,10.37,0.41,4,Yes
12,21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,0.45,2,Yes
13,23,95000,RENT,2.0,VENTURE,A,35000,7.9,0.37,2,Yes
14,26,108160,RENT,4.0,EDUCATION,E,35000,18.39,0.32,4,Yes
15,23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0.3,4,No
16,23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0.06,3,No
17,23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0.29,4,No
18,23,92111,RENT,7.0,MEDICAL,F,35000,20.25,0.32,4,Yes
19,23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,0.31,4,Yes
20,24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,0.16,2,Yes
21,25,162500,RENT,2.0,VENTURE,A,35000,7.49,0.22,4,No
22,25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0.25,2,No
23,22,65000,RENT,4.0,EDUCATION,D,34000,17.58,0.52,4,Yes
24,24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0.14,3,No
25,22,80000,RENT,3.0,PERSONAL,D,33950,14.54,0.42,4,Yes
26,24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,0.49,3,Yes
27,21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,0.42,3,Yes
28,23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0.13,3,No
29,24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,0.5,3,Yes
30,21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,0.35,2,Yes
31,21,11520,OWN,5.0,MEDICAL,B,2000,11.12,0.17,3,Yes
32,25,120000,RENT,2.0,VENTURE,A,32000,6.62,0.27,2,No
33,26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,0.33,3,Yes
34,25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0.08,3,No
35,26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0.03,4,No
36,21,12000,OWN,5.0,EDUCATION,A,2500,7.51,0.21,4,Yes
37,22,48000,RENT,1.0,EDUCATION,E,30000,18.39,0.63,2,Yes
38,24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,0.47,3,Yes
